Code,Description
A442,Extirpation of lesion of spinal cord NEC
A443,Excision of lesion of intradural intramedullary spinal cord
A444,Excision of lesion of extradural spinal cord
A445,Excision of lesion of intradural extramedullary spinal cord
A448,Other specified partial extirpation of spinal cord
A449,Unspecified partial extirpation of spinal cord
A451,Stereotactic chordotomy of spinal cord
A452,Open chordotomy of spinal cord NEC
A454,Open biopsy of lesion of spinal cord
A455,Removal of foreign body from spinal cord
A456,Open aspiration of lesion of spinal cord
A458,Other specified other open operations on spinal cord
A459,Unspecified other open operations on spinal cord
A481,Biopsy of lesion of spinal cord NEC
A482,Aspiration of lesion of spinal cord
A491,Freeing of spinal tether NEC
A492,Closure of spinal myelomeningocele
A493,Closure of spinal meningocele
A494,Complex freeing of spinal tether
A498,Other specified repair of spina bifida
A499,Unspecified repair of spina bifida
A511,Extirpation of lesion of meninges of spinal cord
A512,Freeing of adhesions of meninges of spinal cord
A513,Biopsy of lesion of meninges of spinal cord
A521,Therapeutic lumbar epidural injection
A522,Therapeutic sacral epidural injection
A514,Endoscopic division of epidural adhesions
A578,Other specified operations on spinal nerve root
A621,Primary microsurgical graft to peripheral nerve
A622,Secondary microsurgical graft to peripheral nerve
A623,Microsurgical graft to peripheral nerve NEC
A624,Primary microsurgical repair of peripheral nerve NEC
A625,Secondary microsurgical repair of peripheral nerve NEC
A626,Microsurgical graft to multiple peripheral nerves NEC
A627,Microsurgical repair of multiple peripheral nerves NEC
A628,Other specified microsurgical repair of peripheral nerve
A629,Unspecified microsurgical repair of peripheral nerve
A631,Primary graft to peripheral nerve NEC
A632,Secondary graft to peripheral nerve NEC
A641,Primary approximation of peripheral nerve
A642,Primary repair of peripheral nerve NEC
A644,Secondary repair of peripheral nerve NEC
A648,Other specified other repair of peripheral nerve
A649,Unspecified other repair of peripheral nerve
A651,Carpal tunnel release
A652,Canal of Guyon release
A658,Other specified release of entrapment of peripheral nerve at wrist
A659,Unspecified release of entrapment of peripheral nerve at wrist
A661,Tarsal tunnel release
A668,Other specified release of entrapment of peripheral nerve at ankle
A669,Unspecified release of entrapment of peripheral nerve at ankle
A671,Cubital tunnel release
A672,Release of entrapment of lateral cutaneous nerve of thigh
A673,Release of entrapment of plantar digital nerve
A678,Other specified release of entrapment of peripheral nerve at other site
A679,Unspecified release of entrapment of peripheral nerve at other site
A681,Primary neurolysis of peripheral nerve and transposition of peripheral nerve
A682,Secondary neurolysis of peripheral nerve and transposition of peripheral nerve
A683,Neurolysis of peripheral nerve and transposition of peripheral nerve NEC
A684,Primary neurolysis of peripheral nerve NEC
A685,Secondary neurolysis of peripheral nerve NEC
A688,Other specified other release of peripheral nerve
A689,Unspecified other release of peripheral nerve
A691,Revision of neurolysis of peripheral nerve and transposition of peripheral nerve
A692,Revision of carpal tunnel release
A693,Revision of tarsal tunnel release
A698,Other specified revision of release of peripheral nerve
A699,Unspecified revision of release of peripheral nerve
A731,Biopsy of lesion of peripheral nerve
A732,Freeing of adhesions of peripheral nerve NEC
A733,Decompression of peripheral nerve NEC
A734,Exploration of peripheral nerve
A735,Injection of therapeutic substance around peripheral nerve
A736,Transfer and reimplantation of peripheral nerve NEC
A738,Other specified other operations on peripheral nerve
O061,Primary hybrid prosthetic replacement of shoulder joint using cemented humeral component
O062,Conversion to hybrid prosthetic replacement of shoulder joint using cemented humeral component
O063,Revision of hybrid prosthetic replacement of shoulder joint using cemented humeral component
O068,Other specified hybrid prosthetic replacement of shoulder joint using cemented humeral component
O071,Primary hybrid prosthetic replacement of shoulder joint using cemented glenoid component
O072,Conversion to hybrid prosthetic replacement of shoulder joint using cemented glenoid component
O073,Revision of hybrid prosthetic replacement of shoulder joint using cemented glenoid component
O081,Primary hybrid prosthetic replacement of shoulder joint using cement NEC
O083,Revision of hybrid prosthetic replacement of shoulder joint using cement NEC
O084,Attention to hybrid prosthetic replacement of shoulder joint using cement NEC
O088,Other specified hybrid prosthetic replacement of shoulder joint using cement
O101,Extra-articular scapular resection with reconstruction of shoulder
O108,Other specified complex reconstruction of shoulder
O181,Primary hybrid prosthetic replacement of knee joint using cement
O182,Conversion to hybrid prosthetic replacement of knee joint using cement
O183,Revision of hybrid prosthetic replacement of knee joint using cement
O184,Attention to hybrid prosthetic replacement of knee joint using cement
O191,Endoscopic autologous matrix induced chondrogenesis of joint
O192,Endoscopic excision of infrapatellar fat pad
O211,Primary total prosthetic replacement of elbow joint using cement
O212,Conversion to total prosthetic replacement of elbow joint using cement
O213,Revision of total prosthetic replacement of elbow joint using cement
O214,Revision of one component of total prosthetic replacement of elbow joint using cement
O219,Unspecified total prosthetic replacement of elbow joint using cement
O221,Primary total prosthetic replacement of elbow joint not using cement
O222,Conversion to total prosthetic replacement of elbow joint not using cement
O223,Revision of total prosthetic replacement of elbow joint not using cement
O224,Revision of one component of total prosthetic replacement of elbow joint not using cement
O231,Primary total prosthetic replacement of elbow joint NEC
O232,Conversion to total prosthetic replacement of elbow joint NEC
O233,Revision of total prosthetic replacement of elbow joint NEC
O234,Attention to total prosthetic replacement of elbow joint NEC
O235,Revision of one component of total prosthetic replacement of elbow joint NEC
O238,Other specified total prosthetic replacement of elbow joint
O241,Primary prosthetic replacement of head of radius using cement
O242,Conversion to prosthetic replacement of head of radius using cement
O243,Revision of prosthetic replacement of head of radius using cement
O249,Unspecified prosthetic replacement of head of radius using cement
O251,Primary prosthetic replacement of head of radius not using cement
O253,Revision of prosthetic replacement of head of radius not using cement
O258,Other specified prosthetic replacement of head of radius not using cement
O259,Unspecified prosthetic replacement of head of radius not using cement
O261,Primary prosthetic replacement of head of radius NEC
O263,Revision of prosthetic replacement of head of radius NEC
O264,Attention to prosthetic replacement of head of radius NEC
O271,Extra-articular ligament reconstruction for stabilisation of joint
O272,Repair of capsule and anterior and posterior labrum for stabilisation of glenohumeral joint
O273,Repair of capsule and anterior labrum for stabilisation of glenohumeral joint
O274,Repair of capsule and posterior labrum for stabilisation of glenohumeral joint
O278,Other specified other stabilising operations on joint
O291,Subacromial decompression
O321,Primary total prosthetic replacement of ankle joint NEC
O322,Conversion to total prosthetic replacement of ankle joint NEC
O323,Revision of total prosthetic replacement of ankle joint NEC
O324,Attention to total prosthetic replacement of ankle joint NEC
O325,Revision of one component of total prosthetic replacement of ankle joint NEC
T521,Palmar fasciectomy
T522,Revision of palmar fasciectomy
T523,Plantar fasciectomy
T524,Revision of plantar fasciectomy
T525,Digital fasciectomy
T526,Revision of digital fasciectomy
T528,Other specified excision of other fascia
T529,Unspecified excision of other fascia
T531,Excision of lesion of fascia
T532,Destruction of lesion of fascia
T538,Other specified extirpation of lesion of fascia
T539,Unspecified extirpation of lesion of fascia
T541,Division of palmar fascia
T542,Division of plantar fascia
T548,Other specified division of fascia
T549,Unspecified division of fascia
T561,Dermofasciectomy
