code,Description,Category,Abdominal,Cardiac,Obstetrics,Orthopaedic,Thoracic,Vascular,Major,IntermediateorMinor
B221,Bilateral adrenalectomy and transposition of adrenal tissue,Abdominal,1,0,0,0,0,0,1,0
B222,Bilateral adrenalectomy NEC,Abdominal,1,0,0,0,0,0,1,0
B223,Unilateral adrenalectomy,Abdominal,1,0,0,0,0,0,1,0
B224,Partial adrenalectomy,Abdominal,1,0,0,0,0,0,1,0
B228,Other specified excision of adrenal gland,Abdominal,1,0,0,0,0,0,1,0
B229,Unspecified excision of adrenal gland,Abdominal,1,0,0,0,0,0,1,0
B231,Excision of lesion of aberrant adrenal tissue,Abdominal,1,0,0,0,0,0,1,0
B232,Exploration of aberrant adrenal tissue,Abdominal,1,0,0,0,0,0,1,0
B238,Other specified operations on aberrant adrenal tissue,Abdominal,1,0,0,0,0,0,1,0
B239,Unspecified operations on aberrant adrenal tissue,Abdominal,1,0,0,0,0,0,1,0
B251,Excision of lesion of adrenal gland,Abdominal,1,0,0,0,0,0,1,0
B252,Biopsy of lesion of adrenal gland NEC,Abdominal,1,0,0,0,0,0,1,0
B254,Exploration of adrenal gland,Abdominal,1,0,0,0,0,0,1,0
B258,Other specified other operations on adrenal gland,Abdominal,1,0,0,0,0,0,1,0
B259,Unspecified other operations on adrenal gland,Abdominal,1,0,0,0,0,0,1,0
E441,Excision of carina,Thoracic,0,0,0,0,1,0,1,0
E442,Reconstruction of carina,Thoracic,0,0,0,0,1,0,1,0
E443,Open biopsy of lesion of carina,Thoracic,0,0,0,0,1,0,1,0
E448,Other specified open operations on carina,Thoracic,0,0,0,0,1,0,1,0
E449,Unspecified open operations on carina,Thoracic,0,0,0,0,1,0,1,0
E461,Sleeve resection of bronchus and anastomosis HFQ,Thoracic,0,0,0,0,1,0,1,0
E462,Excision of cyst of bronchus,Thoracic,0,0,0,0,1,0,1,0
E463,Excision of lesion of bronchus NEC,Thoracic,0,0,0,0,1,0,1,0
E464,Open destruction of lesion of bronchus,Thoracic,0,0,0,0,1,0,1,0
E468,Other specified partial extirpation of bronchus,Thoracic,0,0,0,0,1,0,1,0
E469,Unspecified partial extirpation of bronchus,Thoracic,0,0,0,0,1,0,1,0
E471,Open biopsy of lesion of bronchus NEC,Thoracic,0,0,0,0,1,0,1,0
E472,Closure of fistula of bronchus,Thoracic,0,0,0,0,1,0,1,0
E473,Repair of bronchus NEC,Thoracic,0,0,0,0,1,0,1,0
E478,Other specified other open operations on bronchus,Thoracic,0,0,0,0,1,0,1,0
E479,Unspecified other open operations on bronchus,Thoracic,0,0,0,0,1,0,1,0
E528,Other specified other operations on bronchus,Thoracic,0,0,0,0,1,0,1,0
E529,Unspecified other operations on bronchus,Thoracic,0,0,0,0,1,0,1,0
E531,Double lung transplant,Thoracic,0,0,0,0,1,0,1,0
E532,Single lung transplant,Thoracic,0,0,0,0,1,0,1,0
E533,Single lobe lung transplant,Thoracic,0,0,0,0,1,0,1,0
E538,Other specified transplantation of lung,Thoracic,0,0,0,0,1,0,1,0
E539,Unspecified transplantation of lung,Thoracic,0,0,0,0,1,0,1,0
E541,Total pneumonectomy,Thoracic,0,0,0,0,1,0,1,0
E542,Bilobectomy of lung,Thoracic,0,0,0,0,1,0,1,0
E543,Lobectomy of lung,Thoracic,0,0,0,0,1,0,1,0
E544,Excision of segment of lung,Thoracic,0,0,0,0,1,0,1,0
E545,Partial lobectomy of lung NEC,Thoracic,0,0,0,0,1,0,1,0
E546,Reduction of lung volume,Thoracic,0,0,0,0,1,0,1,0
E548,Other specified excision of lung,Thoracic,0,0,0,0,1,0,1,0
E549,Unspecified excision of lung,Thoracic,0,0,0,0,1,0,1,0
E551,Open decortication of lesion of lung,Thoracic,0,0,0,0,1,0,1,0
E552,Open excision of lesion of lung,Thoracic,0,0,0,0,1,0,1,0
E553,Open cauterisation of lesion of lung,Thoracic,0,0,0,0,1,0,1,0
E554,Open destruction of lesion of lung NEC,Thoracic,0,0,0,0,1,0,1,0
